Date,Open,High,Low,Close*,Adj Close**,Volume
01-Sep-22,"1,707.90","1,717.40","1,693.90","1,700.40","1,700.40","1,047"
01-Aug-22,"1,763.90","1,804.90","1,708.50","1,712.80","1,712.80","11,161"
01-Jul-22,"1,795.50","1,806.10","1,679.80","1,762.90","1,762.90","194,989"
01-Jun-22,"1,831.00","1,875.60","1,801.00","1,804.10","1,804.10","7,851"
01-Apr-22,"1,935.00","1,997.10","1,872.90","1,909.30","1,909.30","7,725"
01-Mar-22,"1,908.30","2,072.00","1,893.50","1,949.20","1,949.20","157,864"
01-Feb-22,"1,797.20","1,972.50","1,787.90","1,899.40","1,899.40","9,510"
01-Jan-22,"1,830.10","1,852.70","1,778.80","1,795.00","1,795.00","232,014"
01-Dec-21,"1,774.80","1,827.80","1,753.90","1,827.50","1,827.50","10,803"
01-Nov-21,"1,787.50","1,869.70","1,761.80","1,773.60","1,773.60","221,936"
01-Oct-21,"1,754.30","1,809.00","1,744.70","1,783.00","1,783.00","8,208"
01-Sep-21,"1,813.50","1,833.90","1,721.40","1,755.30","1,755.30","28,543"
01-Jul-21,"1,775.70","1,833.00","1,768.80","1,812.60","1,812.60","245,814"
01-Jun-21,"1,905.10","1,916.20","1,752.10","1,770.80","1,770.80","8,466"
01-May-21,"1,788.50","1,905.40","1,774.80","1,902.50","1,902.50","210,133"
01-Apr-21,"1,706.80","1,794.50","1,706.40","1,767.30","1,767.30","11,366"
01-Mar-21,"1,737.10","1,750.30","1,673.70","1,713.80","1,713.80","167,914"
01-Feb-21,"1,866.60","1,871.90","1,718.80","1,728.10","1,728.10","16,813"
01-Jan-21,"1,912.20","1,959.90","1,802.00","1,847.30","1,847.30","225,930"
01-Dec-20,"1,775.00","1,908.00","1,774.90","1,893.10","1,893.10","12,142"
01-Oct-20,"1,884.10","1,929.10","1,858.80","1,877.40","1,877.40","9,613"
01-Sep-20,"1,961.70","1,986.30","1,851.50","1,887.50","1,887.50","17,781"
01-Aug-20,"1,984.30","2,063.00","1,871.60","1,967.60","1,967.60","11,710"
01-Jul-20,"1,793.60","1,981.10","1,765.80","1,962.80","1,962.80","246,967"
01-Jun-20,"1,740.40","1,793.20","1,668.60","1,793.00","1,793.00","16,436"
01-May-20,"1,686.60","1,770.50","1,670.50","1,736.90","1,736.90","168,568"
01-Apr-20,"1,570.00","1,775.00","1,570.00","1,684.20","1,684.20","14,324"
01-Feb-20,"1,592.90","1,686.60","1,547.70","1,564.10","1,564.10","9,617"
01-Jan-20,"1,518.10","1,604.20","1,518.00","1,582.90","1,582.90","316,262"
01-Nov-19,"1,511.00","1,511.60","1,447.10","1,465.60","1,465.60","443,701"
01-Oct-19,"1,468.70","1,518.20","1,458.30","1,511.40","1,511.40","5,233"
01-Aug-19,"1,411.30","1,549.30","1,400.90","1,519.10","1,519.10","17,142"
01-Jul-19,"1,386.60","1,444.20","1,382.80","1,426.10","1,426.10","302,051"
01-Jun-19,"1,307.00","1,433.30","1,307.00","1,409.70","1,409.70","6,517"
01-May-19,"1,278.70","1,306.40","1,266.60","1,305.80","1,305.80","248,448"
01-Apr-19,"1,291.80","1,309.10","1,266.00","1,282.80","1,282.80","6,961"
01-Mar-19,"1,312.20","1,322.90","1,281.00","1,293.00","1,293.00","295,700"
01-Feb-19,"1,320.30","1,344.00","1,301.60","1,312.80","1,312.80","7,989"
01-Jan-19,"1,286.00","1,325.40","1,275.30","1,319.70","1,319.70","270,998"
01-Dec-18,"1,222.50","1,281.30","1,221.30","1,278.30","1,278.30","4,402"
01-Nov-18,"1,215.40","1,236.00","1,196.30","1,220.20","1,220.20","304,805"
01-Oct-18,"1,191.60","1,238.60","1,183.70","1,212.30","1,212.30","4,126"
01-Sep-18,"1,193.80","1,206.20","1,180.00","1,191.50","1,191.50","23,406"
01-Aug-18,"1,222.90","1,223.70","1,161.40","1,200.30","1,200.30","5,996"
01-Jun-18,"1,298.60","1,307.70","1,244.80","1,251.30","1,251.30","5,166"
01-May-18,"1,313.20","1,320.80","1,285.20","1,300.10","1,300.10","441,893"
01-Mar-18,"1,310.40","1,354.40","1,301.80","1,322.80","1,322.80","356,297"
01-Feb-18,"1,343.80","1,361.40","1,307.00","1,315.50","1,315.50","10,243"
01-Jan-18,"1,302.30","1,362.40","1,302.30","1,339.00","1,339.00","338,322"
01-Dec-17,"1,274.10","1,306.30","1,236.50","1,306.30","1,306.30","7,596"
01-Nov-17,"1,272.20","1,296.20","1,265.30","1,273.20","1,273.20","326,214"
01-Sep-17,"1,320.20","1,355.80","1,277.00","1,281.50","1,281.50","26,808"
01-Aug-17,"1,268.40","1,323.80","1,251.40","1,316.20","1,316.20","10,098"
01-Jul-17,"1,236.00","1,270.80","1,208.60","1,266.60","1,266.60","292,633"
01-Jun-17,"1,268.00","1,295.20","1,238.10","1,240.70","1,240.70","8,948"
01-May-17,"1,268.70","1,273.20","1,214.00","1,272.00","1,272.00","404,733"
01-Apr-17,"1,247.50","1,294.80","1,243.00","1,266.10","1,266.10","9,065"
01-Mar-17,"1,247.80","1,257.70","1,196.20","1,247.30","1,247.30","251,026"
01-Feb-17,"1,211.90","1,263.10","1,197.90","1,252.60","1,252.60","11,087"
01-Dec-16,"1,172.70","1,186.70","1,123.90","1,150.00","1,150.00","9,972"
01-Nov-16,"1,279.30","1,318.60","1,167.90","1,170.80","1,170.80","242,622"
01-Oct-16,"1,313.50","1,316.80","1,248.90","1,271.50","1,271.50","5,775"
01-Sep-16,"1,305.30","1,350.50","1,301.50","1,313.30","1,313.30","18,630"
01-Aug-16,"1,348.80","1,366.00","1,306.30","1,306.90","1,306.90","11,854"
01-Jul-16,"1,324.50","1,374.90","1,312.80","1,349.00","1,349.00","281,653"
01-Jun-16,"1,215.70","1,355.60","1,205.40","1,318.40","1,318.40","13,380"
01-Apr-16,"1,232.30","1,295.50","1,209.20","1,289.20","1,289.20","9,954"
01-Mar-16,"1,240.50","1,280.70","1,210.00","1,234.20","1,234.20","244,751"
01-Feb-16,"1,116.70","1,260.80","1,115.30","1,233.90","1,233.90","13,930"
01-Jan-16,"1,063.40","1,125.70","1,063.20","1,116.40","1,116.40","229,558"
01-Dec-15,"1,064.60","1,098.80","1,046.20","1,060.30","1,060.30","10,149"
01-Oct-15,"1,115.20","1,189.00","1,105.80","1,141.50","1,141.50","4,321"
01-Sep-15,"1,133.50","1,155.90","1,098.20","1,115.50","1,115.50","9,119"
01-Aug-15,"1,095.50","1,169.00","1,080.50","1,131.60","1,131.60","13,251"
01-Jul-15,"1,173.10","1,173.10","1,078.60","1,094.90","1,094.90","216,892"
01-Jun-15,"1,190.60","1,204.00","1,164.00","1,171.50","1,171.50","6,252"
01-May-15,"1,178.10","1,228.10","1,170.00","1,189.40","1,189.40","258,123"
01-Apr-15,"1,182.90","1,224.20","1,174.60","1,182.40","1,182.40","7,838"
01-Jan-15,"1,184.00","1,303.50","1,169.50","1,278.50","1,278.50","258,615"
01-Dec-14,"1,160.00","1,238.00","1,141.70","1,183.90","1,183.90","11,140"
01-Nov-14,"1,166.40","1,202.40","1,133.00","1,175.20","1,175.20","299,410"
01-Oct-14,"1,207.70","1,251.00","1,161.40","1,171.10","1,171.10","4,510"
01-Sep-14,"1,284.50","1,286.40","1,204.00","1,210.50","1,210.50","27,705"
01-Aug-14,"1,284.10","1,321.40","1,272.00","1,285.80","1,285.80","9,633"
01-Jul-14,"1,326.70","1,343.70","1,280.60","1,281.30","1,281.30","224,607"
01-May-14,"1,288.70","1,314.20","1,241.80","1,245.60","1,245.60","211,143"
01-Apr-14,"1,285.10","1,330.00","1,272.40","1,295.60","1,295.60","8,265"
01-Mar-14,"1,335.90","1,391.40","1,282.40","1,283.40","1,283.40","255,794"
01-Feb-14,"1,242.40","1,343.90","1,241.20","1,321.40","1,321.40","11,943"
01-Jan-14,"1,204.30","1,269.40","1,204.30","1,240.10","1,240.10","189,701"
01-Nov-13,"1,325.70","1,325.70","1,229.00","1,250.60","1,250.60","270,667"
01-Oct-13,"1,328.00","1,359.70","1,254.10","1,323.60","1,323.60","2,723"
01-Aug-13,"1,323.00","1,428.00","1,274.00","1,396.10","1,396.10","10,507"
01-Jul-13,"1,234.70","1,343.50","1,208.90","1,312.40","1,312.40","186,170"
01-Jun-13,"1,389.10","1,422.70","1,183.20","1,223.80","1,223.80","12,739"
01-May-13,"1,475.80","1,487.10","1,342.90","1,392.60","1,392.60","222,108"
01-Apr-13,"1,596.80","1,602.60","1,323.00","1,472.20","1,472.20","14,648"
01-Mar-13,"1,579.60","1,613.80","1,561.80","1,594.80","1,594.80","223,847"
01-Feb-13,"1,663.90","1,683.40","1,555.20","1,577.70","1,577.70","11,784"
01-Jan-13,"1,672.80","1,694.70","1,625.70","1,660.60","1,660.60","197,723"
01-Dec-12,"1,714.90","1,722.30","1,635.80","1,674.80","1,674.80","7,061"
01-Nov-12,"1,722.30","1,751.30","1,674.10","1,710.90","1,710.90","345,777"
01-Oct-12,"1,766.00","1,794.80","1,698.60","1,717.50","1,717.50","2,741"
01-Sep-12,"1,689.10","1,785.30","1,687.70","1,771.10","1,771.10","25,557"
01-Aug-12,"1,613.40","1,690.00","1,583.10","1,684.60","1,684.60","11,783"
01-Jun-12,"1,560.00","1,639.70","1,545.50","1,603.50","1,603.50","11,162"
01-May-12,"1,665.00","1,670.50","1,528.50","1,562.60","1,562.60","345,507"
01-Mar-12,"1,698.60","1,724.60","1,633.80","1,669.30","1,669.30","254,540"
01-Feb-12,"1,738.20","1,790.40","1,669.00","1,709.90","1,709.90","9,587"
01-Dec-11,"1,747.00","1,762.90","1,525.00","1,565.80","1,565.80","11,311"
01-Nov-11,"1,706.70","1,798.40","1,674.40","1,745.50","1,745.50","257,009"
01-Oct-11,"1,627.80","1,752.00","1,596.60","1,724.20","1,724.20","2,715"
01-Sep-11,"1,825.80","1,911.60","1,562.40","1,620.40","1,620.40","31,848"
01-Aug-11,"1,623.00","1,909.30","1,607.00","1,828.50","1,828.50","25,647"
01-Jul-11,"1,502.20","1,634.90","1,480.00","1,628.30","1,628.30","309,932"
01-Jun-11,"1,535.70","1,558.50","1,490.70","1,502.30","1,502.30","15,027"
01-Apr-11,"1,433.40","1,568.70","1,413.00","1,556.00","1,556.00","15,801"
01-Mar-11,"1,415.30","1,446.90","1,385.50","1,438.90","1,438.90","194,338"
01-Feb-11,"1,333.10","1,415.70","1,324.90","1,409.30","1,409.30","14,468"
01-Jan-11,"1,415.60","1,423.90","1,307.70","1,333.80","1,333.80","299,379"
01-Dec-10,"1,386.80","1,431.10","1,362.50","1,421.10","1,421.10","16,511"
01-Nov-10,"1,360.30","1,423.20","1,327.50","1,385.00","1,385.00","245,327"
01-Oct-10,"1,309.00","1,383.90","1,309.00","1,357.10","1,357.10","3,190"
01-Sep-10,"1,246.30","1,315.20","1,240.00","1,307.80","1,307.80","33,200"
01-Jul-10,"1,206.30","1,242.40","1,158.00","1,181.70","1,181.70","267,525"
01-Jun-10,"1,224.80","1,264.80","1,196.90","1,245.50","1,245.50","16,703"
01-May-10,"1,178.60","1,246.50","1,159.20","1,212.20","1,212.20","361,661"
01-Apr-10,"1,125.10","1,181.30","1,111.30","1,180.10","1,180.10","10,917"
01-Mar-10,"1,119.30","1,145.00","1,085.50","1,113.30","1,113.30","222,583"
01-Feb-10,"1,081.00","1,127.40","1,045.20","1,118.30","1,118.30","18,209"
01-Jan-10,"1,117.70","1,161.20","1,073.20","1,083.00","1,083.00","320,664"
01-Dec-09,"1,181.00","1,226.40","1,075.00","1,095.20","1,095.20","24,177"
01-Oct-09,"1,007.40","1,070.20",986.8,"1,039.70","1,039.70","3,699"
01-Sep-09,954.2,"1,019.80",948.7,"1,008.00","1,008.00","15,642"
01-Aug-09,952.6,971.1,931.5,951.7,951.7,"7,492"
01-Jul-09,929.3,958.1,905.6,953.7,953.7,"177,420"
01-Jun-09,978.8,990.3,917.3,927.1,927.1,"12,773"
01-May-09,884,980.4,881.5,978.8,978.8,"234,559"
01-Apr-09,918.6,932.5,865,890.7,890.7,"17,300"
01-Jan-09,881.5,930.3,805.6,927.3,927.3,"215,420"
01-Dec-08,817.2,883.6,740,883.6,883.6,"9,599"
01-Nov-08,728.8,824,707,816.2,816.2,"377,779"
01-Oct-08,878,925.7,681,716.8,716.8,"3,365"
01-Sep-08,829.9,919,739,874.2,874.2,"18,800"
01-Aug-08,904.9,916.1,780.9,829.3,829.3,"9,253"
01-Jul-08,943.6,986.2,893.3,913.9,913.9,"250,610"
01-May-08,855,925.6,849.6,887.3,887.3,"221,797"
01-Apr-08,915,948.7,863,862.8,862.8,"13,006"
01-Mar-08,984.2,"1,014.60",912,916.2,916.2,"216,432"
01-Feb-08,924.8,973.1,884.7,972.1,972.1,"8,233"
01-Jan-08,848.7,936.3,846.4,922.7,922.7,"231,851"
01-Dec-07,783.9,843.2,777,834.9,834.9,"7,681"
01-Nov-07,785.3,841.3,777.6,782.2,782.2,"239,351"
01-Oct-07,745.1,795.4,724.3,792,792,"2,720"
01-Sep-07,672.5,745.7,672.5,742.8,742.8,"27,393"
01-Aug-07,663.2,676.2,642.9,673,673,"8,547"
01-Jun-07,661.5,674,640,648.1,648.1,"4,027"
01-May-07,673.7,688,651,661,661,"158,741"
01-Mar-07,673,673,640,663,663,"52,996"
01-Feb-07,652.9,687.7,642,669.4,669.4,"3,981"
01-Jan-07,635.2,655.5,607,652,652,"101,525"
01-Dec-06,645.7,649.7,612,635.2,635.2,"3,823"
01-Nov-06,612.5,648,612.5,646.9,646.9,"114,115"
01-Sep-06,624.4,638.5,576.4,598.6,598.6,"17,592"
01-Aug-06,635.4,656,609,625.9,625.9,"4,608"
01-Jul-06,631,677,612.7,634.2,634.2,"99,344"
01-Jun-06,642.8,645.1,555,613.5,613.5,"6,197"
01-May-06,658,723,637,642.5,642.5,"137,161"
01-Apr-06,582,651.8,582,651.8,651.8,"8,121"
01-Mar-06,562.5,589.6,539.9,581.8,581.8,"94,801"
01-Feb-06,570.8,575.3,535.5,561.6,561.6,"10,165"
01-Dec-05,494.2,538.5,490.1,517.1,517.1,"12,240"
01-Nov-05,463,502.3,455.3,494.6,494.6,"157,642"
01-Oct-05,467.8,478.5,460.5,465.1,465.1,"2,106"
01-Sep-05,438.5,474,438.5,469,469,"11,805"
01-Aug-05,430,449.5,429.1,433.8,433.8,"3,085"
01-Jul-05,427.8,430.5,419.6,429.9,429.9,"44,574"
01-Jun-05,416.4,442.5,414,435.9,435.9,"6,950"
01-Apr-05,428.3,438.2,422.7,435,435,"2,579"
01-Mar-05,435,446.4,424.7,428.7,428.7,"3,171"
01-Feb-05,422.2,436,410.1,436.5,436.5,"8,468"
01-Jan-05,431,431,418.7,421.8,421.8,"115,342"
01-Dec-04,451.6,456.5,432.6,437.5,437.5,"12,728"
01-Nov-04,427.3,454.8,424.6,451.3,451.3,"183,608"
01-Oct-04,419.1,430,410.3,428.5,428.5,"2,646"
01-Sep-04,407.3,418.8,396.8,418.7,418.7,"16,144"
01-Jul-04,396,408.1,385,391,391,"116,575"
01-Jun-04,393.9,405,383,392.6,392.6,"6,207"
01-May-04,387,396.3,375.8,394,394,"144,835"
01-Apr-04,427.2,432,380,387,387,"6,579"
01-Mar-04,396.4,428,391.1,427.3,427.3,"105,746"
01-Jan-04,415.7,428.2,396.5,402.2,402.2,"132,663"
01-Dec-03,397.2,417.2,397,415.7,415.7,"10,267"
01-Nov-03,382.8,402,377,396.8,396.8,"165,003"
01-Oct-03,385.5,394,368,384.5,384.5,"3,594"
01-Sep-03,375,388.7,372.9,385.4,385.4,"16,207"
01-Aug-03,354.1,375,346,375.7,375.7,"5,743"
01-Jul-03,351.4,364.8,342.1,354,354,"86,330"
01-May-03,339,370,339,364.5,364.5,"164,025"
01-Apr-03,336,338.4,319.3,339.1,339.1,"3,097"
01-Mar-03,349.2,356.8,326,335.9,335.9,"6,100"
01-Feb-03,368,388.9,342,350.2,350.2,"6,928"
01-Jan-03,346.1,372,345.2,368.3,368.3,"8,298"
01-Nov-02,318.8,324.5,316.5,316.8,316.8,"54,551"
01-Oct-02,322,322.9,309.8,318,318,"3,849"
01-Aug-02,303.2,318,298,312.4,312.4,"3,256"
01-Jul-02,314,323.9,300.8,303.2,303.2,"28,530"
01-Jun-02,326.6,330.3,313.5,313.5,313.5,"5,817"
01-May-02,309.1,329,306.8,326.5,326.5,"29,743"
01-Apr-02,302.6,312.5,297.5,308.9,308.9,"2,226"
01-Mar-02,298,304.5,289.9,302.6,302.6,"29,465"
01-Feb-02,282.3,308,282.2,296.7,296.7,"3,964"
01-Jan-02,278.9,287.4,278.1,282.1,282.1,"28,613"
01-Dec-01,273.5,281.3,271.2,278.7,278.7,"2,157"
01-Nov-01,279.7,281,272.3,273.9,273.9,"27,949"
01-Oct-01,291.8,292.9,275.5,279.5,279.5,893
01-Sep-01,271.6,294,271.6,292.4,292.4,"3,137"
01-Aug-01,266.2,279.3,265.8,274.4,274.4,"1,817"
01-Jun-01,264.7,277,264.5,270.6,270.6,"1,350"
01-May-01,264.4,287.4,264.2,265.3,265.3,"32,850"
01-Mar-01,265.2,271.6,256.6,257.9,257.9,"31,161"
01-Feb-01,266.3,268.9,255,266.8,266.8,"1,066"
01-Jan-01,268.4,268.4,262.8,265.6,265.6,"17,811"
01-Dec-00,269.7,276,268,272,272,"1,664"
01-Nov-00,263.9,270.2,263.9,270.1,270.1,"32,465"
01-Sep-00,277,278.4,269,273.6,273.6,"4,291"
